math_score,science_score,english_score,assignment_score,attendance_percentage,study_hours_per_week,previous_gpa,participation_level,performance_category
81,36,80,86,79,8,9.38,High,Medium
44,62,53,92,71,20,9.53,Medium,Medium
90,52,53,49,58,32,7.46,Low,Low
50,48,46,85,78,20,6.65,Low,Medium
53,48,34,52,96,8,5.53,Medium,Low
32,65,49,76,86,30,9.77,Low,Medium
51,58,50,77,72,32,5.3,High,Medium
82,89,87,63,62,36,6.49,Medium,High
31,31,60,41,81,6,6.49,Low,Low
59,30,40,61,95,35,6.6,Low,Low
67,76,81,56,96,7,5.82,Medium,Medium
31,98,44,75,97,12,8.92,Low,Medium
93,49,36,53,72,28,5.61,Medium,Medium
89,40,57,49,94,19,8.17,Low,Medium
50,31,80,74,66,35,5.62,High,Medium
62,96,87,64,89,13,5.35,Low,High
87,41,34,42,70,6,9.55,Low,Medium
51,49,34,86,51,12,5.95,Medium,Low
78,34,37,77,86,11,9.11,Low,Medium
88,66,93,56,55,20,7.72,Medium,Low
71,67,39,51,93,39,5.39,High,Medium
89,38,67,93,67,34,9.78,Medium,Medium
44,82,37,91,79,14,6.23,Medium,Medium
91,73,54,63,71,22,9.3,Low,Medium
91,53,95,68,82,9,5.84,High,High
76,59,79,82,79,33,9.27,Medium,Medium
91,88,96,64,66,38,5.07,Low,High
80,43,78,75,92,27,7.56,Low,Medium
84,38,65,97,81,9,8.85,Medium,Medium
93,69,97,99,91,34,9.67,Low,High
32,95,70,65,63,10,9.55,Medium,Medium
80,54,91,77,59,8,9.1,Medium,Low
36,51,39,40,96,33,9.44,Medium,Low
50,33,50,59,85,27,6.0,High,Low
68,55,65,94,83,10,6.42,Medium,Medium
47,87,41,67,58,36,6.44,Low,Low
33,58,31,55,91,22,6.89,High,Low
89,66,42,86,77,19,6.97,Low,Medium
43,99,82,56,60,36,7.72,High,Medium
38,47,61,79,63,13,5.8,High,Medium
82,71,45,67,88,14,8.46,High,Medium
31,70,61,97,96,24,5.84,High,Medium
89,67,61,51,68,10,6.55,Low,Medium
